language,repo_count,stars,forks,overall_score,popularity_score,activity_score,health_score,maturity_score,growth_signal,compliance_score,support_load,contributors_count,commits_365d
Rust,100,3461833,233757,49.4,27.07,61.62,68.0,55.53,0.62,0.75,1.94,258.37,86.86
TypeScript,100,6860151,995677,48.33,16.06,69.44,70.4,56.48,0.68,0.79,1.61,311.21,90.42
Go,100,4301920,493763,46.92,22.98,58.92,68.4,53.73,0.57,0.74,1.41,249.6,79.79
C++,100,3721389,683509,44.12,16.3,56.15,71.8,52.45,0.57,0.74,2.43,222.23,76.31
Python,100,7810721,1315442,43.49,20.76,53.52,65.8,50.24,0.51,0.67,2.12,227.56,70.45
JavaScript,100,5873437,897308,43.31,22.57,47.37,70.8,50.54,0.4,0.74,1.14,241.08,54.19
Ruby,100,1464028,267438,42.4,21.4,46.98,69.6,49.63,0.41,0.72,0.49,206.53,50.61
Java,100,3607982,981908,41.45,22.05,46.53,65.4,47.96,0.44,0.64,2.04,178.61,60.34
Kotlin,100,1405327,218416,38.49,24.67,36.64,63.2,44.27,0.37,0.67,1.16,112.18,59.84
PHP,100,1537067,282285,38.2,19.64,44.43,59.2,44.14,0.4,0.64,0.45,182.55,58.98
Swift,100,1486132,154115,37.43,26.61,29.12,66.4,43.4,0.25,0.69,1.28,98.94,36.91
C#,100,1838012,284245,36.78,13.71,43.69,64.0,44.32,0.43,0.67,2.67,149.39,62.59
