language,name,growth_signal,maturity_score,stars,forks,contributors_count
C#,PowerToys,1.0,94.031,124775,7426,414
C#,runtime,1.0,68.001,17010,5202,319
C#,Jackett,1.0,68.555,14181,1404,407
C#,roslyn,1.0,66.944,19919,4187,270
C#,abp,1.0,67.131,13851,3615,321
C#,jellyfin,1.0,56.733,44660,4015,370
C#,efcore,1.0,52.048,14420,3323,360
C#,duplicati,1.0,46.876,13275,987,178
C#,Flow.Launcher,1.0,45.761,11547,448,148
C#,mRemoteNG,1.0,44.945,10226,1510,108
C++,tensorflow,1.0,90.864,192085,74915,412
C++,react-native,1.0,85.24,124204,24893,305
C++,protobuf,1.0,80.863,69319,15911,372
C++,llama.cpp,1.0,76.015,87997,13373,447
C++,ClickHouse,1.0,76.005,43445,7730,298
C++,envoy,1.0,76.004,26858,5111,376
C++,Paddle,1.0,75.413,23309,5845,361
C++,folly,1.0,73.923,29962,5789,269
C++,grpc,1.0,68.54,43806,10932,306
C++,carbon-lang,1.0,71.306,33381,1514,159
